,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords
q49107,Which of the following would you rather discuss with someone you just met?,Musical preferences.,Political beliefs.,Philosophical beliefs.,Sports.,29721,O,,preference
q49920,How spicy do you like your spicy food?,I like it extremely spicy.,I like it hot.,I like it a little spicy.,I prefer it be mild.,23697,O,,preference
q50352,"If you were going away for two weeks, how far in advance would you start packing?",I would pack at least two days before I leave.,I would pack on the day before I leave.,I would pack on the same day I leave.,I would not pack at all.,22873,O,,descriptive
q50564,Have your sexual interests become kinkier as you've grown older?,Yes.,"No, they haven't changed much.","No, just the opposite.","No, I have no sexual interests.",26137,M,[4],sex/intimacy
q38423,What do you usually wear when you sleep?,Pajamas.,Underwear.,Nothing.,Something else.,26417,M,[4],descriptive
q38912,How do you feel about germs?,Obsessed: I bleach anything I can't trust!,Careful: I wash my hands and cover my sneezes.,Polite: I always wash up when someone's watching.,Unconcerned: I don't actively lick doorknobs.,24415,O,,descriptive
q35955,How would you feel if your significant other made more money than you?,Very comfortable,Somewhat comfortable,Somewhat uncomfortable,Very uncomfortable,24997,O,,descriptive
q36045,Are you ready to settle down and get married right now?,Absolutely.,No way.,"Get married yes, settle down no.","Get married no, settle down yes.",35186,O,"2, (3, 4), 1",descriptive
q36666,"Of these four educational subject areas, which is your favorite?",Language,Mathematics,Science,History,23021,N,,descriptive; cognitive
q37693,"Would you be willing to date someone who plays video games almost every day, for at least 2 hours?","Yes, I'd be playing with them.","Yes, but I would not play that much.","Yes, but I don't like video games.",No.,36165,O,,preference; descriptive
q38223,Do you like to go clubbing?,"Yes, I prefer to go alone.","Yes, I prefer to go with a date.","Yes, I prefer to go with friends.",No.  I do not like to go clubbing.,27207,N,,preference
q35415,"How would you feel if a significant other forgot your birthday, nameday, anniversary, or something else similarly important to you?",Indifferent.,Disappointed.,Annoyed.,Angry.,23380,N,,descriptive
q35475,"When in a relationship, what importance do you place upon celebrating weekly or monthly anniversaries?",High.,Moderate.,Low.,None.,28563,O,,preference
q35520,"Does netspeak (e.g., afk, brb, How RU?, lol, rotfl, ttyl, etc.) bother you?",Yes.,No.,Some of the time - It depends.,I don't know.,25830,O,"2, (3, 4), 1",descriptive
q35660,How often are you open with your feelings?,Always,Usually,Rarely,Never,49489,O,,descriptive
q35862,"When you are sleeping, do you prefer:",A cold room,A cool room,A warm room,A hot room,29945,O,,preference
q31920,How do you feel about age differences in relationships?,I prefer someone close to my own age,I prefer someone older,I prefer someone younger,Doesn't matter to me,33749,M,"2, 1, 3, [4]",preference
q32855,Underarms can be a hairy subject. How do you maintain your pits?,"I let it grow, wild & free!",Occasionally I'll trim.,I shave consistently.,Whatever I feel like at the time.,27844,O,,descriptive
q32973,Are you an adventurous eater? Do you like to try new foods and ethnic cuisines?,"Yes, all the time.","Yes, if it's not too strange.",On rare occasions/I don't know.,"No, yuck.",33661,O,,descriptive
q33170,"If/when you have NO pressing obligations (employment, schooling, children, errands, bedtime, or other factors aside), at what time do you prefer to get up in the morning?",Early bird gets the worm! I'm up before the sun!,Pretty Early (6:00ish - 9:30ish AM),I like to sleep in a bit. (9:30ish AM - Noonish),Morning? Curse that AM light! (afternoon or dark),27163,O,,descriptive
q34113,"How do you feel about government-subsidized food programs (free lunch, food stamps, etc.)?",No problem,"It's okay, if it is not abused",Okay for short amounts of time,Never - Get a job,31769,O,,politics
q31374,"Have you ever tried any sexual roleplaying, such as student/teacher or patient/nurse?",All the time. It really turns me on!,"Yes, on occasion. I have to be in the mood.","No, but it sounds interesting.","No, and it isn't going to happen. Ever.",29214,O,,sex/intimacy
q31821,Do you think the government should limit big chain stores to give small businesses a chance?,Yes,No,Maybe,Don't know/Don't care,24984,O,"2, (3, 4), 1",politics
q31840,I prefer to sleep:,Alone,"With my partner, but apart (not touching)",Touching my partner,Embracing / cuddling my partner,39117,O,,sex/intimacy
q31898,How do you feel about zoos?,I think they're lots of fun!,"Sure, they're fine.","Those poor, locked-up animals!",Zoos are boring.,24073,O,,preference; opinion
q29815,What do you think of reality television?,I love it!,It's alright.,I dislike it.,I have no opinion on reality television,23291,O,"3, 4, 2, 1",preference
q29829,How often do you keep your promises?,Always,Whenever possible,Usually,When convenient,49564,O,,descriptive
q30169,Do you enjoy giving oral sex?,Love it!,It's okay.,Not so much.,Gross!,33482,O,,sex/intimacy
q30384,How often do you wash your dishes?,As I use them.,Daily.,When I run out of clean utensils.,When the sink starts to smell funny.,28082,O,,descriptive
q30416,'Your a bitch!' What bothers you more about the above sentence?,The profanity,The grammar,They both bother me equally,Neither one bothers me,32676,O,"3, (1, 2), 4",descriptive
q30830,"Would you do something outrageous, stupid or adventurous simply because it would make a good story to tell later? (Assume there would be no serious consequences to your actions.)","Yes, whenever possible.","Yes, but nothing too crazy.","Maybe, depends on what and who with.","No, and please don't run with scissors.",26945,O,,preference; descriptive
q28545,"When having sex, do you like to have your hair pulled?","Yes, and hard!","Yes, but gently.",No way.,Don't know / Not sure.,28751,O,"3, 4, 2, 1",sex/intimacy
q29055,How do you feel about living with a signficant other before marriage?,Nothing wrong with that.,"Maybe, depending on the situation.",I'm against that.,I'm not sure.,24121,O,"3, (2, 4), 1",religion/superstition; opinion
q29384,Would you allow your partner to kiss you after performing oral sex on you?,Allow? I enjoy it.,Yes.,No.,It depends.,34342,O,,sex/intimacy
q29389,I talk about my previous relationships:,All the time,Occasionally,"Almost never, unless explicitly asked about them.","Never, even if explicitly asked about them.",26617,O,,descriptive
q26573,Do you like going to poetry readings?,Yes,Sometimes,Occasionally / I'd try it,No,29254,O,,preference
q26720,How much do you spend per year for shoes?,Less than $100,$101 - $ 500,$501- $1000,More than a $1000,28570,O,,descriptive
q71315,Do you like to leave music on while you sleep?,Yes.  I can't sleep without it.,"Yes, but I don't need it to fall asleep.","No, but I can deal with it if my partner does.",No.  I can't sleep with music on.,26815,O,,descriptive
q75677,Which of the following character flaws would you be LEAST tolerant of in a potential partner?,Moodiness.,Dependency.,Jealousy.,Apathy.,28404,N,,descriptive; preference
q79635,How would you feel if someone called you 'good girl' or 'good boy' during sex?,Positive.,Negative.,Indifferent.,It would depend on which of the two I was called.,23812,O,"2, (3, 4), 1",sex/intimacy
q67641,How important to you is being with family during holidays?,Very important.,Somewhat important.,Not important.,I have no family.,30745,M,[4],descriptive
q70302,"Of the following, which do you spend the most time doing while taking a bath or shower?",Washing and/or conditioning.,Shaving.,Relaxing.,Masturbating.,24254,N,,descriptive
q63068,Approximately how many hours per week do you dedicate to spiritual activity?,Zero.,One hour or less.,One to four hours.,More than four hours.,23133,O,,religion/superstition
q63114,How do you think your sex drive compares to what is typical for other people of your age and gender?,My sex drive is higher than average.,My sex drive is about average.,My sex drive is below average.,I'm insatiable.,38203,O,"4, 1, 2, 3",sex/intimacy
q64334,Imagine that your partner does not enjoy performing oral sex and refuses to ever perform it on you. How disappointed would you be?,Extremely disappointed.,Somewhat disappointed.,Slightly disappointed.,Not at all disappointed.,26159,O,,sex/intimacy
q66548,Which is closest to your reaction to foul language?,It doesn't bother me at all.,It's ok as long as it isn't every other word.,It bothers me a little.,It bothers me a lot.,36039,O,,preference
q66827,"During a romantic evening at your significant others' house, he or she puts on a slow song and asks you to dance. How would you respond?",Very romantic! I'm up for it!,"I think its corny, but I'll do it anyway!",Not my kinda thing.,I'm not sure.,28504,O,"3, 4, 2, 1",preference
q60901,"If you were really, really drunk, which of the following would you be more likely to do?",Kiss someone.,Hit someone.,Complain to someone.,I'm not sure / I've never been really drunk.,28506,N,,descriptive
q25561,Does it bother you when people say 'PIN number' or 'ATM machine'?,Yes!,"Well, a little","Nope, but I see why you're asking",Why would it?,27944,O,,preference; cognitive
q25734,What is the farthest you have/would go in a game of strip poker?,Underwear,Topless,All the way,Wouldn't even be playing.,23523,O,"4, 1, 2, 3",preference; descriptive
q26299,"What haircolor, or shade, do you prefer?","Dark (Black, Brown, Auburn)","Light (Blonde, Light Brown, Red)","Other (Neon, Obviously Dyed)",I have no preference,27402,N,,preference
q26405,Is it easy for you to achieve orgasm?,"Yes, with skill and sometimes patience","Yes, any time the wind picks up","No, and I find it somewhat frustrating","No, but don't worry, I'm enjoying myself",27131,O,,sex/intimacy; descriptive
q24345,How much can intelligence turn you on?,A lot!,A bit.,Intelligence does nothing for me either way.,Intelligence turns me off.,48225,O,,preference; cognitive
q24375,"Say you've started seeing someone you really like. As far as you're concerned, how long will it take before you have sex?",1-2 dates,3-5 dates,6 or more dates,Only after the wedding,51072,O,,sex/intimacy; religion/superstition; preference
q24684,Do you carry condoms?,Always,Sometimes,Rarely,Never,27680,O,,sex/intimacy; descriptive
q25114,Which event sounds most appealing?,Sci-Fi Convention,Political Convention,Music Festival,New Years Eve in Times Square,31558,N,,preference; opinion
q23543,"Is it a requirement that you communicate every day with your significant other (via phone, text, in person, whatever)?","Yes, no matter what","Yes, unless otherwise specified","No, it's not necessary","No, I'd prefer not to communicate daily",48633,O,,preference
q23618,How important is it to you to have your own unique 'thing' (like a weekly Girls' Night Out or Guys' Movie Night) that you don't share with your partner(s)?,Very - I need some ME time to be happy,Sort of - I need friends outside of my partner,Not much - I like sharing stuff with my partner,I'd prefer not to have exclusive things,25612,O,,preference
q23696,"When you are angry or frustrated, do you ever throw, smash, kick, hit inanimate objects (non-living things)?","Yes, frequently",Sometimes,"Used to, but not any more",Never,33272,O,,descriptive
q23954,Do you ever feel the need to get really drunk?,Often,Sometimes,Rarely,Never,25432,O,,descriptive
q23993,"In terms of sex, how experienced would your ideal mate be (with people other than you)?",Innocent (Virgin),Slightly Experienced,Moderately Experienced,Very Experienced,34518,O,,sex/intimacy
q22534,Would you ideally like to be married within the next 3 years?,Yes,No,Possibly,I'm already married,24139,M,"2, 3, 1, [4]",preference
q23120,Which is most important to you in determining attractiveness?,Chest/Breasts,Butt/Legs,Face/Smile,Other,23911,N,,preference
q23132,Do you like to play drinking games?,"Yes, they're totally sweet!","No, I think they're cheesy/lame","Not really, but I will on occasion","No, I don't drink",28277,M,"2, 3, 1, [4]",preference
q23147,Imagine you're having the perfect conversation with your ideal partner.  What are you doing?,Telling stories,Debating,Agreeing,Making plans,29873,N,,preference
q23293,"If you had to pick one of the following types of people for a significant other, which would it be?",Wholesome,A little on the slutty side,Crazy and colorful,Dark and mysterious,30939,N,,preference
q23305,How many countries have you visited?,I have never left the country I live in now.,Between 2 and 5 countries.,Between 6 and 10 countries.,More than 10 countries.,24592,O,,descriptive
q23389,You're out on the street and you encounter some people speaking a foreign language. What's your reaction?,"You're in our country, speak our language!",No big deal.,"Cool, what language are they speaking?","(in their language) Hi, how are you?",23050,O,,preference
q1062,How frequently do you bathe or shower?,At least once a day.,Usually daily.  I skip some.,A couple times a week.,Once a week or less.,41649,O,,descriptive
q212813,Which best describes your political beliefs?,Liberal / Left-wing,Centrist,Conservative / Right-wing,Other,45107,M,[4],politics; descriptive
q212814,How important are your political beliefs to you?,Very important,Somewhat important,A little important,Not at all important,44143,O,,descriptive
q221105,How often do you use Facebook?,I'm a very active user.,I'm a somewhat active user.,I rarely use it.,I never use it.,45978,O,,descriptive; technology
q221106,How often do you tweet?,All the time,Sometimes,Rarely,Never,42923,O,,descriptive; technology
q321556,How often do you masturbate?,Once a day or more,A few times a week,A few times a month,A few times a year or less,28276,O,,sex/intimacy
q85823,How much would you dress up for a first date with someone you met on OkCupid?,I'd go all out.,I'd try to look nice.,I wouldn't wear anything special.,"It would vary, depending upon their profile.",25050,M,[4],descriptive
q86417,How long can you go without sexual release?,A day or less.,"More than a day, less than a week.",More than a week.,I have never had sexual release.,28829,O,,sex/intimacy; descriptive
q86909,Are you generally able to forgive and forget?,Yes.,No.,It really depends on the circumstances.,"I can forgive, but I never forget.",28762,O,"2, (3, 4), 1",descriptive
q82528,"If you had your own private hot tub, would you go nude in it?","Yes, always.","Yes, but only when alone or with someone special.","Yes, but only when alone.","No, never.",27318,O,,descriptive
q83184,"If your partner made a lot of noise while enjoying sex, would this be a turn-on or turn-off for you?",Turn on.,Turn off.,"Either, depending upon how they sound.",It would make no difference.,28472,O,"2, (3, 4), 1",sex/intimacy
q83480,Which pubic hair style do you prefer for a partner?,Natural.,Neatly trimmed.,Completely shaven.,It doesn't matter.,30719,M,[4],preference
q21754,What is your opinion concerning strip clubs?,I would be there every day of the week if I could.,They can be fun every once and a while.,I do not really have an opinion/never been to one.,They're gross/disgusting/insulting/other.,28674,O,,preference; opinion
q21793,"How often do you try new things (food, activities, music, whatever) that you've never tried before?","Several times per week, or more.",Several times per month.,Several times per year.,Rarely or never.,28351,O,,descriptive
q21986,"Do you typically speak and write in a clear, precise manner?","Yes, almost always.","Yes, but only for classes/work.",It depends on my mood.,"Ha, my language is vague and messy.",24824,O,,descriptive
q22021,Is your ideal match well-off financially (or at the very least someone who has high income potential)?,"Yes, it's very important.",It's somewhat important.,It's not very important,It's not important at all.,33917,O,,preference
q22122,How long would you have to talk to someone online before you felt comfortable to meet?,I'd meet right away if their profile were cool,A few days,A few weeks,A few months [or never],34086,O,,preference
q22125,Do you prefer?,Slim Men/Women,Average Men/Women,Fuller Figured Men/Women,I Don't Care/Not Fussy,25779,M,[4],preference
q22496,Board games?,What are board games?,"I love boardgames, let's go play.","Boardgames are okay, I guess.",I'd rather do something else.,23647,O,"2, 3, 4, 1",preference
q20818,"Once you take a moral position, can anything be said or done to change your mind?","Yes, life is a big gray area anyway.","No, some things are just Right or Wrong.",Maybe. It depends on the issue.,"Maybe, but it would take a lot.",28211,O,"2, (3, 4), 1",politics; religion/superstition; descriptive
q20889,What's your opinion of the phrase 'making love' when it refers to sex?,It's beautiful.,It's hokey and overly sentimental.,It refers to a very specific kind of sex.,It's no better or worse than any other.,36901,N,,opinion
q20930,Rate your self-confidence:,"Very, very high",Higher than average,Average,Below average,53737,O,,descriptive
q20976,You're in a new relationship and your partner admits that they have had 14 sexual partners. Does that sound like a lot to you?,"Yes, and it makes me uncomfortable.","I guess, but It doesn't change how I feel.",That seems like an average number.,"No, that's nothing.",34627,O,,opinion
q21411,"Do you enjoy intellectual debates on topics like politics, religion, science or philosophy?",I love to argue!,Sometimes.,It's usually boring or annoying.,I'm not smart enough.,34498,M,[4],preference; cognitive
q20135,How do you feel about falling in love?,I love it and want it very much,I try to avoid it,I like to just let it happen,I'm indifferent / not sure,44683,O,"2, (3, 4), 1",sex/intimacy; preference
q20212,Do you feel guilty or bad after having sex?,Always,Sometimes,Never,I'm still a virgin.,30735,M,[4],sex/intimacy; religion/superstition; descriptive
q20519,In a relationship I like to discuss politics with my partner.,All the time!,Sure. I'm interested in sharing our beliefs.,Sometimes. It depends.,Hardly. Politics are boring or personal.,40256,O,,politics; preference
q19378,How are you most likely to show your partner you care?,Words: Tell them how much you appreciate them,Actions: Do something nice (like a date or errand),"Gifts: Buy them flowers, jewelery or a new gadget","Touch: Give them a hug, massage or kiss",40178,N,,sex/intimacy; preference; descriptive
q19874,How long do your romantic relationships usually last?,0-6 months,6-12 months,12+ months,I've never been in a relationship,40948,M,[4],descriptive
q18979,"If you found out your partner was cheating on you, would you cheat on them in revenge?","Yes, they have it coming!","No, I'd confront them.","No, I'd dump them on the spot.","Maybe, if one of their friends is cute.",28233,O,"3, 2, 4, 1",sex/intimacy; preference
q19125,Are you concerned with your image and the way others perceive you?,Very Much So,"Often, yes",A little bit,Not at all / I hate the mainstream,23440,O,,descriptive
q17342,"On a typical night, what time do you go to sleep?",By 9pm,By 11pm,By 1am,Later,24309,O,,descriptive
q17778,Are you a beer snob?,Yes,No,"Not usually, but some beers I won't touch.",I don't drink.,25582,M,"2, 3, 1, [4]",descriptive
q18797,"Would you - for any reason - read your mate's email or pose as him/her online, without his/her knowledge and permission?","Yes, they shouldn't be keeping secrets anyway.","Yes, I'd be too curious not to.",Only if I suspected them of something.,"No, I'd trust them and that would be invasive.",38006,O,,preference
q1588,Do you like cats?  Would you consider owning a cat as a pet?,"Yes, I would love (or do own) a cat.","I'm not too into them, but I wouldn't mind one.","No, I dislike cats.","I like them, but I'm allergic.",30160,N,,preference; descriptive
q13136,How important is art in your daily life?,Very Important,Somewhat Important,Not Important,I don't care,24839,M,[4],preference; descriptive
q18875,How important is it to you that your partner smell good?,Very damn important,Important-ish,Less important than you think,I just don't care at all,43478,O,,preference
q18966,Do you prefer hardcore or softcore when it comes to your porn?,Hard!,Soft!,Both!,I don't like porn,24917,M,"2, 3, 1, [4]",sex/intimacy; preference
q18212,How much do you usually tip a server who did a fine job?,Around 10% or less,10-15%,15-20%,Over 20%,28793,O,,descriptive; preference
q18609,Can you cook?,"Yes, I'm a culinary genius.","Yes, with a cook book.","No, but I try.","No, there's always fast food.",30481,O,,descriptive
q18763,Do you consider yourself to be an honorable person?,"Yes, I always try to do the right thing.","Sometimes, it depends on the situation.","No, not really.","Are you kidding? I lie, cheat , AND steal.",23284,O,,descriptive
q18834,"If you had to name your greatest motivation in life thus far, what would it be?",Love,Wealth,Expression,Knowledge,46158,N,,descriptive
q17582,How are your teeth?,Perfect,Okay,Kinda Scraggly,Fucked Up,23548,O,,descriptive
q15742,How much do other people's opinions of you influence your decisions?,A lot,Some,Very little,Not at all,28241,O,,descriptive
q15743,How do you feel about people with past addictions?,Completely uninterested,Extremely hesitant,A little hesitant,Totally fine,25710,O,,preference
q15752,How important is voting to you?,Extremely important,Very important,Not so important,Not at all important,31818,O,,politics
q15030,Which would you prefer your ideal match to be more into?,Sports,Books,Music,Movies,35747,N,,preference
q15418,"In your current music collection, do you have more independent artists or big name superstars?",Independent,Big name superstars,A mix of both,I don't have a music collection,24157,M,"2, 3, 1, [4]",descriptive
q15698,How do you feel about kids?,Kids are precious - they love me and I love them!,"They're okay, but keep the unruly ones at bay.","God, how revolting. *shudder*",I'm indifferent.,39676,O,"3, (2, 4), 1",preference
q12970,How often do you brush your teeth?,Twice or more a day,Once a day,Only on days I feel like it,Rarely / never,47673,O,,descriptive
q13032,Would you ever consider dating a Catholic?,Yes,"Hesistant, but willing",No,Only if he/she was non-practicing,25643,O,"3, 4, 2, 1",religion/superstition; preference
q12503,"How often should your significant other buy you gifts, jewelry, or other things more expensive than, say, dinner, cards, or flowers?",Very frequently.,From time to time.,"On special occasions (birthdays, Christmas, etc.).",Never.,27820,O,,preference
q12605,"Once you're intimate, how often would you and your significant other have sex?",Every day,About every other day,Once or twice a week,A few times a month or less,46098,O,,sex/intimacy
q7239,What is the worst personality trait someone can have?,Arrogance,Being boring,Immaturity,No sense of humor,25390,N,,opinion
q8155,"On average, which best describes how often you GET WICKED DRUNK?",Twice a week or more,Weekly / Bi-Weekly,Once every month or three.,Seldom or never.,38298,O,,descriptive
q8865,Are you currently employed?,"Yes, I have a fulltime job",No,Part time,I'm a student,31950,M,"2, 3, 1, [4]",descriptive
q6350,How would you describe your body?,Slender,Average,Athletic,Voluptuous,30529,N,,descriptive
q6722,Which best describes your personal feelings about sports?,Sports are a very important part of my life.,I play or watch sports often.,I play or watch sports occasionally.,I don't watch or play sports.,28517,M,[1],preference; descriptive
q1712,How shy would you say you are?,Very shy,Kind of shy,Not really shy,Not at all shy,28992,O,,descriptive
q1401,Have you ever had a sexual encounter with someone of the same sex?,"Yes, and I enjoyed myself.","Yes, and I did not enjoy myself.","No, and I would never.","No, but I would like to.",41622,O,"3, 4, 2, 1",sex/intimacy; descriptive
q1128,Would you date someone who was already in a committed relationship with someone else?,"Yes, even in secret.","Yes, but only if everybody knew.","No, but I don't think it's inherently wrong.","No, it's wrong.",34032,N,,sex/intimacy; preference
q1185,"In a serious relationship, do you feel it's important to keep your significant other informed of the details of your day-to-day life?",Yes,No,Some,I don't do serious relationships,36121,M,"2, 3, 1, [4]",sex/intimacy; preference; opinion
q1028,Is your ideal sex rough or gentle?,Rough,Gentle,I enjoy both equally,I'm a virgin,37097,M,"2, 3, 1, [4]",sex/intimacy
q1122,How often do you use profane language?,Never,Once in a while,Often,Almost always,26641,O,,descriptive
q887,"Do you enjoy crude humor, dirty jokes, and the like?","Yes, and I often try to push the boundaries!","Usually, yes.","Not in most cases, no.",Absolutely not at all.,31593,O,,preference
q979,How many children would you ideally like to have?,,1-2,3-4,5 or more!,36507,O,,sex/intimacy; preference
q997,Are you a cat person or a dog person?,Cats,Dogs,Both,Neither,54746,N,,preference
q542,Roughly how many books have you read in the past year?,Less than five,Between five and fifteen,Between sixteen and fifty,Fifty or more,25710,O,,descriptive
q35355,How open are you to trying new things in bed?,Very open. I'll try anything once.,"I'm open, but I don't get too crazy.","Hesitant, but it might happen.",Not at all.,40231,O,,sex/intimacy
q30723,Which is the greatest compliment you could receive?,That you are beautiful/sexy/hot,That you are intelligent,That you are talented,That you are extremely fun to be with,25230,N,,preference; descriptive
q31983,Star Wars or Star Trek?,Star Wars,Star Trek,I can't decide.,Neither!,26787,M,"2, 3, 1, [4]",preference
q33602,"Do you attempt to conserve water, energy or other resources during your everyday life?","Yes, almost always",Sometimes,"No, I don't care","No, it's my right to waste as much as I want",29187,O,,descriptive; preference
q34517,"Do you enjoy dark, violent, or disturbing music?",Yes,No,When I'm in the mood.,Unsure,25250,O,"1, 3, 4, 2",descriptive; preference
q274,What's the highest level of education you've completed?,Graduate School,College,High School,Junior High,31706,O,,descriptive
q28754,How long do you believe people need to be in a relationship before before getting married?,At least 2 years,At least 1 year,At least 6 months,Less than 6 months / no requirement,27565,O,,opinion
q30207,Is love overrated?,"Yes, absolutely.","Yes, a bit.","No, it's fine.","No, it's underrated.",29060,O,,opinion
q21488,Do you pick up after yourself? Be honest.,Always.,"Yeah, when I have the time.","No, I live in filth.","No, my mom/roommate/partner mostly does it for me.",30108,O,"(3, 4), 2, 1",descriptive
q265,Who do you think was smartest on this list?,Einstein,Shakespeare,Mozart,Jesus,29398,N,,opinion
q41,How important is religion/God in your life?,Extremely important,Somewhat important,Not very important,Not at all important,54140,O,,religion/superstition
q11,How does the idea of being slapped hard in the face during sex make you feel?,Horrified,Aroused,Nostalgic,Indifferent,28860,N,,sex/intimacy
